Tipo;Queijos frescos, salgados e ácidos;Queijos delicados;Queijos fortes e firmes;Queijos pungentes;Moluscos;Peixes;Crustáceos;Carne branca;Carne curada;Carne vermelha;Folhas e vegetais verdes;Raízes e vegetais rasteiros;Aliáceos;Solanáceas;Feijão;Cogumelos;Ervas frescas;Especiarias de forno;Especiarias exóticas;Pimentas vermelhas;Ervas resinosas;Castanhas
Espumante;1.0;0.5;0.5;0.5;1.0;0.5;0.5;0.5;1.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5;1.0;0.5;0.5;0.0;0.0
Branco leve;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Branco encorpado;0.0;1.0;0.5;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.5;0.0
Branco aromático;1.0;0.5;0.0;0.5;0.0;0.0;1.0;1.0;0.5;0.0;0.0;1.0;0.5;0.5;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
Rosè     ;0.5;1.0;0.5;0.5;0.0;0.5;0.5;1.0;0.5;0.0;0.0;1.0;1.0;0.5;0.5;0.0;1.0;0.5;1.0;1.0;1.0;0.5
Tinto leve;0.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.5;0.0;0.5;1.0;0.5;0.0;1.0;0.0;0.0;0.0
Tinto médio corpo;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.5;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.5;1.0;1.0;1.0;0.0
Tinto encorpado;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0
Sobremesa;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.5;1.0
